Fitness metrics: KappaLoss, CrossValidationLoss, Simplicity

Individual 104
Population size: 800
Generations: 200
Seed: 29
Max features: 60
Crossover probability: 0.9
Mutation probability: 1.0
Pool proportion (to population size): 0.5
Mean fitness values of each generation
[ 0.4024716   0.25684484 13.51125   ]
[ 0.40202446  0.25437123 13.31375   ]
[ 0.39677722  0.25062639 13.5       ]
[ 0.39564916  0.24898095 13.34875   ]
[ 0.39369165  0.24758571 13.3425    ]
[ 0.38926471  0.24495238 13.46625   ]
[ 0.38713066  0.24349107 13.5375    ]
[ 0.38725588  0.24267083 13.38      ]
[ 0.38388758  0.2431246  13.4125    ]
[ 0.37799394  0.23952917 13.43      ]
[ 0.37555408  0.23865377 13.51625   ]
[ 0.37623962  0.23796607 13.32625   ]
[ 0.37399902  0.23685635 13.39      ]
[ 0.36988774  0.2338631  13.69875   ]
[ 0.36684237  0.22973929 13.87125   ]
[ 0.36312863  0.22699603 14.15625   ]
[ 0.36120337  0.22423194 14.35875   ]
[ 0.3579961   0.22245198 14.6625    ]
[ 0.3546155   0.21964107 14.775     ]
[ 0.35482469  0.21867321 14.76      ]
[ 0.35164432  0.21696111 14.825     ]
[ 0.3488356   0.21626925 14.99875   ]
[ 0.34738681  0.21378294 14.88875   ]
[ 0.34691294  0.21445615 14.8575    ]
[ 0.34513864  0.21136091 14.99125   ]
[ 0.34010745  0.20873036 15.1725    ]
[ 0.34121158  0.20868274 14.935     ]
[ 0.34141404  0.20978889 14.61625   ]
[ 0.34002618  0.20909762 14.55625   ]
[ 0.34155669  0.21010575 14.59625   ]
[ 0.33844894  0.20905417 14.57125   ]
[ 0.33917329  0.21008532 14.5125    ]
[ 0.33852843  0.20947341 14.69625   ]
[ 0.33471273  0.20645238 14.945     ]
[ 0.33559092  0.2061121  14.70625   ]
[ 0.33554793  0.2058752  14.745     ]
[ 0.33533469  0.20559425 14.7325    ]
[ 0.33609728  0.2070127  14.49875   ]
[ 0.33517048  0.20645992 14.53625   ]
[ 0.33576136  0.20654901 14.35      ]
[ 0.33119825  0.2039625  14.63375   ]
[ 0.33056697  0.20365298 14.64125   ]
[ 0.33018652  0.20322937 14.615     ]
[ 0.33015578  0.20286984 14.58875   ]
[ 0.32999785  0.20172143 14.5625    ]
[ 0.32947251  0.2013129  14.39875   ]
[ 0.32956748  0.20189722 14.21625   ]
[ 0.32924065  0.20163591 14.27875   ]
[ 0.3286305   0.20110734 14.175     ]
[ 0.32806382  0.20102381 14.18125   ]
[ 0.32586249  0.20021667 14.2825    ]
[ 0.32593957  0.19980714 14.1075    ]
[ 0.32572966  0.19948452 14.09875   ]
[ 0.32582307  0.19975278 14.14      ]
[ 0.32369996  0.19949266 14.065     ]
[ 0.32266741  0.19923631 14.11875   ]
[ 0.32301414  0.19879286 14.09875   ]
[ 0.32190073  0.19810079 14.155     ]
[ 0.32205806  0.19781627 14.0575    ]
[ 0.32249061  0.19829524 13.9825    ]
[ 0.32169042  0.19790377 14.0325    ]
[ 0.32133144  0.19863214 13.91125   ]
[ 0.32151165  0.19757937 13.81      ]
[ 0.3220904  0.19815   13.785    ]
[ 0.31769031  0.19448254 14.14125   ]
[ 0.31552762  0.19293313 14.3       ]
[ 0.31575643  0.1931627  14.2625    ]
[ 0.31496625  0.1927994  14.32875   ]
[ 0.31368114  0.19195516 14.095     ]
[ 0.31138789  0.19076726 14.30875   ]
[ 0.31201882  0.19146369 14.0325    ]
[ 0.31116443  0.19141587 14.01875   ]
[ 0.31093365  0.19155992 13.98125   ]
[ 0.31119656  0.19189563 13.93875   ]
[ 0.31045906  0.19161944 13.96875   ]
[ 0.30966933  0.19141667 13.9775    ]
[ 0.30991859  0.19188254 14.0675    ]
[ 0.30977059  0.19186706 14.01625   ]
[ 0.30959154  0.19118631 14.07375   ]
[ 0.30912775  0.19103254 14.05125   ]
[ 0.30869554  0.19118889 13.9975    ]
[ 0.30898296  0.19025337 14.09125   ]
[ 0.30823511  0.18925397 14.2775    ]
[ 0.30767683  0.18904147 14.27375   ]
[ 0.30811916  0.18856607 14.19375   ]
[ 0.30812807  0.18842361 14.23125   ]
[ 0.30749682  0.18832579 14.30875   ]
[ 0.306718    0.18752163 14.335     ]
[ 0.30621338  0.18722361 14.32875   ]
[ 0.304907    0.18693393 14.3525    ]
[ 0.30280397  0.18508254 14.48625   ]
[ 0.30364374  0.18567321 14.40375   ]
[ 0.3018951   0.18501944 14.5625    ]
[ 0.30036945  0.18410972 14.69      ]
[ 0.29985425  0.18241667 14.73875   ]
[ 0.29950742  0.18209385 14.71      ]
[ 0.29938051  0.18199345 14.71      ]
[ 0.30023379  0.18197659 14.605     ]
[ 0.30057878  0.18232202 14.57375   ]
[ 0.30039773  0.18267004 14.57875   ]
[ 0.30034296  0.18289266 14.555     ]
[ 0.2987452   0.18139087 14.715     ]
[ 0.29875441  0.18158591 14.69375   ]
[ 0.29653708  0.18016567 14.84625   ]
[ 0.29537719  0.18004702 14.91375   ]
[ 0.29418874  0.17909901 14.98875   ]
[ 0.29267316  0.17853056 15.1475    ]
[ 0.29194668  0.17822063 15.12375   ]
[ 0.29230459  0.17781409 15.135     ]
[ 0.29171425  0.17736905 15.18375   ]
[ 0.29196794  0.17711766 15.1325    ]
[ 0.29174771  0.17650893 15.24625   ]
[ 0.29171942  0.17735992 15.2525    ]
[ 0.29062469  0.1769498  15.3325    ]
[ 0.29083399  0.17747917 15.22875   ]
[ 0.28935109  0.17711885 15.26      ]
[ 0.28911194  0.17647877 15.235     ]
[ 0.28964877  0.17699802 15.19      ]
[ 0.29024828  0.17715675 15.195     ]
[ 0.29048975  0.17728333 15.16      ]
[ 0.28991156  0.17606925 15.225     ]
[ 0.29021707  0.17591488 15.21125   ]
[ 0.29024845  0.17622044 15.12125   ]
[ 0.29011156  0.17590794 15.125     ]
[ 0.2890591  0.1746629 15.2875   ]
[ 0.28866982  0.17487302 15.2225    ]
[ 0.28918452  0.17514306 15.11125   ]
[ 0.28907969  0.17465456 15.12875   ]
[ 0.28581914  0.17223433 15.3375    ]
[ 0.28248081  0.16964702 15.3975    ]
[ 0.2812381   0.16915377 15.40375   ]
[ 0.28026196  0.16854306 15.41625   ]
[ 0.28100819  0.1689125  15.495     ]
[ 0.27943043  0.16805278 15.4925    ]
[ 0.27947214  0.16807758 15.4975    ]
[ 0.28301698  0.17061845 15.21375   ]
[ 0.2835642  0.1709994 15.1325   ]
[ 0.28333238  0.17109821 15.125     ]
[ 0.28272468  0.1714998  15.06625   ]
[ 0.28361934  0.17147163 14.95625   ]
[ 0.28316878  0.17073849 14.94      ]
[ 0.28376919  0.17081032 14.90625   ]
[ 0.2842524   0.17128274 14.81875   ]
[ 0.28577262  0.17200337 14.67      ]
[ 0.28576706  0.17209167 14.69375   ]
[ 0.28527315  0.17216111 14.6675    ]
[ 0.28425153  0.17165198 14.72      ]
[ 0.28493598  0.17236548 14.59375   ]
[ 0.28371302  0.17196905 14.7375    ]
[ 0.28282686  0.17154742 14.84      ]
[ 0.2828274   0.17135099 14.83625   ]
[ 0.28213109  0.17086687 14.93625   ]
[ 0.28233284  0.17052679 14.8925    ]
[ 0.28178632  0.17013909 14.8225    ]
[ 0.28158446  0.17016032 14.8075    ]
[ 0.28222374  0.17035694 14.77      ]
[ 0.28168766  0.1695494  14.77625   ]
[ 0.28075074  0.16914425 14.815     ]
